question_id,prediction,target,answer_type,small_answer_type_target,small_answer_type_prediction,answer_type_prediction
77550,window,sign,other,object,object,other
37969,sitting,sitting,other,action,action,other
80669,curtain,light,other,object,object,other
80093,curtain,board,other,object,object,other
68416,building,house,other,location,object,other
31990,yes,yes,yes/no,yes/no,yes/no,yes/no
61742,white,white,other,color,color,other
45007,green,pink,other,color,color,other
52689,black,blue,other,color,color,other
91848,standing,standing,other,action,action,other
93591,wood,wooden,other,color,color,other
57456,white,white,other,color,color,other
86691,green,pink,other,color,color,other
11842,2,1,number,number,number,number
70625,table,table,other,object,object,other
31141,yes,yes,yes/no,yes/no,yes/no,yes/no
84603,white,white,other,color,color,other
37986,standing,standing,other,action,action,other
804,standing,sitting,other,action,action,other
92159,building,building,other,object,object,other
42559,blue,blue,other,color,color,other
42729,blue,blue,other,color,color,other
89495,standing,standing,other,action,action,other
92428,tie,tie,other,object,object,other
102525,stage,stage,other,object,object,other
66864,tree,fence,other,object,object,other
101604,room,floor,other,object,object,other
35134,yes,yes,yes/no,yes/no,yes/no,yes/no
94443,standing,standing,other,action,action,other
51791,white,blue,other,color,color,other
87152,pink,pink,other,color,color,other
50350,white,white,other,color,color,other
45296,pink,purple,other,color,color,other
88053,standing,standing,other,action,action,other
10406,3,2,number,number,number,number
83959,red,white,other,color,color,other
36567,light,light,other,object,object,other
35646,yes,yes,yes/no,yes/no,yes/no,yes/no
88251,standing,standing,other,action,action,other
88479,standing,standing,other,action,action,other
7764,2,2,number,number,number,number
9597,2,2,number,number,number,number
77224,bottle,bottle,other,object,object,other
35430,yes,yes,yes/no,yes/no,yes/no,yes/no
52667,red,green,other,color,color,other
50378,green,green,other,color,color,other
31670,yes,yes,yes/no,yes/no,yes/no,yes/no
64070,green,green,other,color,color,other
50319,pink,pink,other,color,color,other
100948,chair,chair,other,object,object,other
11757,2,2,number,number,number,number
90193,paper,microphone,other,object,object,other
75462,microwave,food,other,object,object,other
75048,pillow,people,other,human,object,other
87223,purple,blue,other,color,color,other
101089,car,car,other,object,object,other
34536,yes,yes,yes/no,yes/no,yes/no,yes/no
85268,pink,pink,other,color,color,other
16108,2,3,number,number,number,number
40080,paper,bag,other,object,object,other
80,no,yes,yes/no,yes/no,yes/no,yes/no
10449,2,2,number,number,number,number
62283,red,red,other,color,color,other
83103,red,green,other,color,color,other
30796,yes,yes,yes/no,yes/no,yes/no,yes/no
94594,standing,sitting,other,action,action,other
149576,no,yes,yes/no,yes/no,yes/no,yes/no
70260,door,door,other,object,object,other
85141,blue,black,other,color,color,other
1069,yes,yes,yes/no,yes/no,yes/no,yes/no
26950,yes,yes,yes/no,yes/no,yes/no,yes/no
43503,black,black,other,color,color,other
66992,house,house,other,location,location,other
32543,yes,yes,yes/no,yes/no,yes/no,yes/no
17665,2,2,number,number,number,number
32636,yes,yes,yes/no,yes/no,yes/no,yes/no
79252,picture,picture,other,object,object,other
8215,2,2,number,number,number,number
17140,2,1,number,number,number,number
1505,sitting,standing,other,action,action,other
68634,tree,mountain,other,object,object,other
59149,green,green,other,color,color,other
7655,2,2,number,number,number,number
27214,yes,yes,yes/no,yes/no,yes/no,yes/no
30611,yes,yes,yes/no,yes/no,yes/no,yes/no
14798,2,2,number,number,number,number
102375,couch,table,other,object,object,other
32031,yes,yes,yes/no,yes/no,yes/no,yes/no
63074,green,purple,other,color,color,other
30044,yes,yes,yes/no,yes/no,yes/no,yes/no
49495,brown,brown,other,color,color,other
85410,pink,pink,other,color,color,other
91916,paper,baby,other,human,object,other
96905,bench,bench,other,object,object,other
68288,curtain,curtain,other,object,object,other
89227,standing,standing,other,action,action,other
71375,door,wall,other,object,object,other
68537,bookshelf,wall,other,object,object,other
1173,sitting,sitting,other,action,action,other
60820,blue,blue,other,color,color,other
38267,standing,standing,other,action,action,other
48809,red,blue,other,color,color,other
12069,2,2,number,number,number,number
51424,green,green,other,color,color,other
40044,microphone,sword,other,object,object,other
18185,group,group,other,other,other,other
93111,suit,suit,other,object,object,other
87597,standing,standing,other,action,action,other
69631,picture,mirror,other,object,object,other
1014,yes,no,yes/no,yes/no,yes/no,yes/no
53918,white,pink,other,color,color,other
76319,door,door,other,object,object,other
45068,purple,green,other,color,color,other
85788,blue,blue,other,color,color,other
108861,no,no,yes/no,yes/no,yes/no,yes/no
129119,yes,no,yes/no,yes/no,yes/no,yes/no
44834,gray,gray,other,color,color,other
46855,pink,purple,other,color,color,other
15972,2,2,number,number,number,number
98349,sunny,sunny,other,other,other,other
66929,tree,tree,other,object,object,other
11644,3,3,number,number,number,number
12613,2,1,number,number,number,number
74397,cloud,cloud,other,object,object,other
1067,no,yes,yes/no,yes/no,yes/no,yes/no
97327,blue,purple,other,color,color,other
6730,yes,yes,yes/no,yes/no,yes/no,yes/no
88584,standing,standing,other,action,action,other
60084,blue,pink,other,color,color,other
70215,people,pole,other,object,human,other
40246,chair,chair,other,object,object,other
871,book,flower,other,object,object,other
45454,purple,green,other,color,color,other
13733,2,2,number,number,number,number
70771,curtain,tree,other,object,object,other
59076,blue,blue,other,color,color,other
76166,curtain,curtain,other,object,object,other
40553,tree,tree,other,object,object,other
82811,blue,green,other,color,color,other
71042,building,building,other,object,object,other
2219,no,no,yes/no,yes/no,yes/no,yes/no
28983,yes,yes,yes/no,yes/no,yes/no,yes/no
56867,black,black,other,color,color,other
16593,3,2,number,number,number,number
98824,standing,driving,other,action,action,other
72452,wall,flower,other,object,object,other
72054,cabinet,wall,other,object,object,other
23716,yes,yes,yes/no,yes/no,yes/no,yes/no
276,yes,yes,yes/no,yes/no,yes/no,yes/no
38911,cup,bag,other,object,object,other
50666,green,green,other,color,color,other
30065,yes,yes,yes/no,yes/no,yes/no,yes/no
84382,blue,black,other,color,color,other
16959,2,2,number,number,number,number
97496,standing,standing,other,action,action,other
60878,blue,blue,other,color,color,other
68786,wall,background,other,other,object,other
43526,blue,blue,other,color,color,other
34818,yes,yes,yes/no,yes/no,yes/no,yes/no
68646,wall,wall,other,object,object,other
81429,wood,metal,other,object,color,other
79390,picture,picture,other,object,object,other
40639,building,wheel,other,object,object,other
11472,2,1,number,number,number,number
13523,3,4,number,number,number,number
53317,green,blue,other,color,color,other
56153,gray,blue,other,color,color,other
66703,chair,bed,other,object,object,other
68205,tree,fence,other,object,object,other
88112,standing,standing,other,action,action,other
99158,phone,banana,other,object,object,other
21867,open,open,other,action,action,other
33086,yes,yes,yes/no,yes/no,yes/no,yes/no
15272,2,2,number,number,number,number
71752,wall,wall,other,object,object,other
103066,background,background,other,other,other,other
93599,wood,wooden,other,color,color,other
71192,wall,wall,other,object,object,other
15473,2,1,number,number,number,number
28783,yes,yes,yes/no,yes/no,yes/no,yes/no
81386,wall,wall,other,object,object,other
61516,purple,purple,other,color,color,other
36098,yes,yes,yes/no,yes/no,yes/no,yes/no
59950,blue,green,other,color,color,other
66593,tree,tree,other,object,object,other
85125,brown,brown,other,color,color,other
62835,pink,pink,other,color,color,other
71259,wall,wall,other,object,object,other
17954,2,2,number,number,number,number
50995,red,black,other,color,color,other
73598,window,pillow,other,object,object,other
44759,green,pink,other,color,color,other
55682,black,blue,other,color,color,other
88655,standing,standing,other,action,action,other
46203,purple,red,other,color,color,other
103458,people,people,other,human,human,other
35767,yes,yes,yes/no,yes/no,yes/no,yes/no
70013,table,chair,other,object,object,other
78000,laptop,bottle,other,object,object,other
21647,yes,no,yes/no,yes/no,yes/no,yes/no
50434,brown,brown,other,color,color,other
71349,window,window,other,object,object,other
88150,standing,standing,other,action,action,other
6731,yes,yes,yes/no,yes/no,yes/no,yes/no
71563,wall,sky,other,object,object,other
1526,sitting,standing,other,action,action,other
68109,cabinet,window,other,object,object,other
101646,right,room,other,object,color,other
111949,yes,yes,yes/no,yes/no,yes/no,yes/no
79659,light,poster,other,object,object,other
81417,wood,wood,other,color,color,other
94208,standing,sitting,other,action,action,other
66086,green,black,other,color,color,other
359,yes,yes,yes/no,yes/no,yes/no,yes/no
20567,yes,yes,yes/no,yes/no,yes/no,yes/no
16970,2,2,number,number,number,number
159795,no,no,yes/no,yes/no,yes/no,yes/no
69395,bottle,curtain,other,object,object,other
71970,tree,tree,other,object,object,other
42930,blue,blue,other,color,color,other
52190,gray,gray,other,color,color,other
44194,pink,pink,other,color,color,other
69679,picture,sign,other,object,object,other
29035,yes,yes,yes/no,yes/no,yes/no,yes/no
101607,room,inside,other,location,object,other
63041,pink,pink,other,color,color,other
117795,no,yes,yes/no,yes/no,yes/no,yes/no
91157,microphone,fork,other,object,object,other
86266,red,brown,other,color,color,other
88591,driving,sitting,other,action,action,other
16101,1,1,number,number,number,number
136973,rectangular,square,other,object,other,other
9747,2,2,number,number,number,number
464,standing,standing,other,action,action,other
102210,right,wall,other,object,color,other
80129,picture,painting,other,action,object,other
10283,2,2,number,number,number,number
44052,blue,colorful,other,color,color,other
36825,standing,standing,other,action,action,other
100854,sunglasses,tie,other,object,object,other
52317,gray,white,other,color,color,other
24898,yes,yes,yes/no,yes/no,yes/no,yes/no
85773,white,pink,other,color,color,other
57737,blue,blue,other,color,color,other
93872,standing,reading,other,action,action,other
7032,no,yes,yes/no,yes/no,yes/no,yes/no
48760,blue,red,other,color,color,other
94893,standing,standing,other,action,action,other
52428,gray,red,other,color,color,other
73929,table,counter,other,object,object,other
71487,wall,door,other,object,object,other
95963,microphone,glass,other,object,object,other
18722,2,group,other,other,number,number
71116,wall,door,other,object,object,other
94745,sitting,sitting,other,action,action,other
49382,brown,purple,other,color,color,other
160728,no,no,yes/no,yes/no,yes/no,yes/no
11821,2,1,number,number,number,number
73883,tree,broom,other,object,object,other
103944,sitting,sitting,other,action,action,other
96479,sitting,sitting,other,action,action,other
102697,chair,chair,other,object,object,other
48070,red,red,other,color,color,other
1517,standing,standing,other,action,action,other
91246,microphone,microphone,other,object,object,other
89475,standing,standing,other,action,action,other
99399,chair,chair,other,object,object,other
88333,standing,standing,other,action,action,other
11749,2,2,number,number,number,number
47559,red,red,other,color,color,other
81706,shorts,shorts,other,object,object,other
89450,sitting,sitting,other,action,action,other
65311,blue,green,other,color,color,other
74984,pillow,pillow,other,object,object,other
77473,window,window,other,object,object,other
85752,white,blue,other,color,color,other
77396,book,book,other,object,object,other
36934,sunglasses,shorts,other,object,object,other
17046,3,2,number,number,number,number
29443,yes,yes,yes/no,yes/no,yes/no,yes/no
12299,1,1,number,number,number,number
67726,door,cabinet,other,object,object,other
55150,red,green,other,color,color,other
13533,3,2,number,number,number,number
52864,green,purple,other,color,color,other
17988,1,1,number,number,number,number
17145,2,2,number,number,number,number
40038,phone,paper,other,object,object,other
108534,yes,no,yes/no,yes/no,yes/no,yes/no
44374,purple,pink,other,color,color,other
82662,blue,pink,other,color,color,other
32473,yes,yes,yes/no,yes/no,yes/no,yes/no
102175,left,right,other,color,location,other
95514,phone,bowl,other,object,object,other
10755,2,2,number,number,number,number
46642,brown,green,other,color,color,other
70988,sky,tree,other,object,object,other
18194,2,2,number,number,number,number
41204,red,purple,other,color,color,other
95232,book,tablet,other,object,object,other
47178,pink,pink,other,color,color,other
86085,blue,blue,other,color,color,other
134240,no,yes,yes/no,yes/no,yes/no,yes/no
34796,yes,yes,yes/no,yes/no,yes/no,yes/no
26541,yes,yes,yes/no,yes/no,yes/no,yes/no
73398,window,window,other,object,object,other
32077,yes,yes,yes/no,yes/no,yes/no,yes/no
99823,brown,red,other,color,color,other
45681,blue,red,other,color,color,other
17771,2,1,number,number,number,number
79128,picture,picture,other,object,object,other
59532,pink,pink,other,color,color,other
5900,yes,yes,yes/no,yes/no,yes/no,yes/no
78416,bottle,bowl,other,object,object,other
88041,standing,standing,other,action,action,other
891,no,yes,yes/no,yes/no,yes/no,yes/no
103486,child,man,other,human,object,other
16263,2,2,number,number,number,number
54026,white,white,other,color,color,other
100692,round,round,other,other,other,other
54290,white,white,other,color,color,other
1581,standing,standing,other,action,action,other
87036,brown,blue,other,color,color,other
84458,blue,white,other,color,color,other
54132,white,red,other,color,color,other
48241,red,brown,other,color,color,other
82149,eyeglasses,glasses,other,object,object,other
79782,cupboard,mirror,other,object,object,other
15639,2,2,number,number,number,number
27690,yes,yes,yes/no,yes/no,yes/no,yes/no
1690,standing,standing,other,action,action,other
41454,blue,orange,other,color,color,other
66746,guitar,saxophone,other,object,object,other
94400,standing,standing,other,action,action,other
75950,snow,snow,other,other,other,other
50756,brown,brown,other,color,color,other
42147,blue,purple,other,color,color,other
12183,3,2,number,number,number,number
16174,2,2,number,number,number,number
47775,pink,pink,other,color,color,other
49652,blue,white,other,color,color,other
43568,blue,green,other,color,color,other
79947,picture,poster,other,object,object,other
54199,white,green,other,color,color,other
118342,right,right,other,color,color,other
88607,standing,sitting,other,action,action,other
82036,door,room,other,object,object,other
61812,green,green,other,color,color,other
6,no,yes,yes/no,yes/no,yes/no,yes/no
55642,white,green,other,color,color,other
101288,bench,bench,other,object,object,other
42991,blue,pink,other,color,color,other
15557,2,2,number,number,number,number
32845,yes,yes,yes/no,yes/no,yes/no,yes/no
38465,standing,sitting,other,action,action,other
63340,pink,pink,other,color,color,other
78289,food,food,other,object,object,other
61693,blue,blue,other,color,color,other
79502,picture,poster,other,object,object,other
59182,red,pink,other,color,color,other
78465,lamp,laptop,other,object,object,other
25472,dark,dark,other,color,color,other
55343,white,green,other,color,color,other
37175,sitting,sitting,other,action,action,other
71887,tree,house,other,location,object,other
64281,blue,blue,other,color,color,other
101175,door,floor,other,object,object,other
83584,brown,brown,other,color,color,other
13388,2,group,other,other,number,number
128496,yes,no,yes/no,yes/no,yes/no,yes/no
80361,picture,shelves,other,object,object,other
45065,blue,blue,other,color,color,other
27265,yes,yes,yes/no,yes/no,yes/no,yes/no
31441,yes,yes,yes/no,yes/no,yes/no,yes/no
92722,hat,hat,other,object,object,other
991,yes,yes,yes/no,yes/no,yes/no,yes/no
57940,blue,blue,other,color,color,other
55092,blue,red,other,color,color,other
17002,2,2,number,number,number,number
63600,blue,blue,other,color,color,other
22190,no,no,yes/no,yes/no,yes/no,yes/no
57426,gray,blue,other,color,color,other
53851,white,blue,other,color,color,other
11980,3,2,number,number,number,number
30354,yes,yes,yes/no,yes/no,yes/no,yes/no
87560,wood,wood,other,color,color,other
72095,door,wall,other,object,object,other
28113,yes,yes,yes/no,yes/no,yes/no,yes/no
82377,green,pink,other,color,color,other
27460,yes,yes,yes/no,yes/no,yes/no,yes/no
89369,standing,standing,other,action,action,other
54725,white,white,other,color,color,other
71059,wall,wall,other,object,object,other
19892,2,many,number,number,number,number
35559,yes,yes,yes/no,yes/no,yes/no,yes/no
86601,brown,red,other,color,color,other
54881,white,white,other,color,color,other
79663,picture,picture,other,object,object,other
27525,yes,yes,yes/no,yes/no,yes/no,yes/no
17339,2,2,number,number,number,number
50358,white,white,other,color,color,other
17059,2,2,number,number,number,number
16068,2,1,number,number,number,number
39110,standing,standing,other,action,action,other
85606,pink,green,other,color,color,other
56259,green,blue,other,color,color,other
97084,sitting,standing,other,action,action,other
18163,2,3,number,number,number,number
101659,sidewalk,road,other,object,location,other
87918,standing,sitting,other,action,action,other
37827,standing,standing,other,action,action,other
29324,yes,yes,yes/no,yes/no,yes/no,yes/no
59156,green,gray,other,color,color,other
63359,pink,pink,other,color,color,other
76692,microphone,microphone,other,object,object,other
90572,guitar,box,other,object,object,other
15081,2,2,number,number,number,number
47260,red,red,other,color,color,other
55285,blue,green,other,color,color,other
76587,hat,hat,other,object,object,other
12476,2,2,number,number,number,number
71207,wall,board,other,object,object,other
92553,glasses,sunglasses,other,object,object,other
56208,blue,blue,other,color,color,other
17632,2,2,number,number,number,number
28274,yes,yes,yes/no,yes/no,yes/no,yes/no
10938,2,2,number,number,number,number
98373,snowy,snowy,other,other,other,other
932,yes,yes,yes/no,yes/no,yes/no,yes/no
47778,blue,white,other,color,color,other
61799,green,orange,other,color,color,other
74553,flower,flower,other,object,object,other
828,no,yes,yes/no,yes/no,yes/no,yes/no
61402,purple,pink,other,color,color,other
53637,white,white,other,color,color,other
64339,blonde,blue,other,color,color,other
7990,1,1,number,number,number,number
85517,pink,pink,other,color,color,other
37366,standing,standing,other,action,action,other
22097,standing,standing,other,action,action,other
66887,plate,chair,other,object,object,other
71237,door,building,other,object,object,other
87089,purple,blue,other,color,color,other
34223,yes,yes,yes/no,yes/no,yes/no,yes/no
70762,plant,tree,other,object,object,other
70963,wall,building,other,object,object,other
89491,standing,standing,other,action,action,other
34014,yes,yes,yes/no,yes/no,yes/no,yes/no
45317,red,purple,other,color,color,other
73622,chair,bed,other,object,object,other
101978,room,room,other,object,object,other
86981,purple,blue,other,color,color,other
66941,wall,window,other,object,object,other
46077,purple,red,other,color,color,other
45006,green,pink,other,color,color,other
91276,phone,bottle,other,object,object,other
46143,green,green,other,color,color,other
2087,yes,yes,yes/no,yes/no,yes/no,yes/no
103408,man,man,other,human,human,other
53735,green,white,other,color,color,other
66788,sky,sky,other,object,object,other
56854,blue,black,other,color,color,other
15771,2,3,number,number,number,number
58512,white,blue,other,color,color,other
62878,pink,pink,other,color,color,other
70657,table,door,other,object,object,other
62828,pink,pink,other,color,color,other
6716,yes,yes,yes/no,yes/no,yes/no,yes/no
17595,2,1,number,number,number,number
33746,yes,yes,yes/no,yes/no,yes/no,yes/no
68550,door,wall,other,object,object,other
48620,wood,blue,other,color,color,other
27204,yes,yes,yes/no,yes/no,yes/no,yes/no
79159,picture,picture,other,object,object,other
77455,book,book,other,object,object,other
59150,green,green,other,color,color,other
88566,sitting,sitting,other,action,action,other
16842,2,2,number,number,number,number
38007,standing,standing,other,action,action,other
54334,blue,gray,other,color,color,other
31494,yes,yes,yes/no,yes/no,yes/no,yes/no
61796,green,red,other,color,color,other
56677,red,red,other,color,color,other
55246,blue,blue,other,color,color,other
38805,stick,stick,other,object,object,other
96888,chair,chair,other,object,object,other
17714,2,1,number,number,number,number
83653,green,green,other,color,color,other
37033,standing,standing,other,action,action,other
89005,standing,standing,other,action,action,other
80856,plate,box,other,object,object,other
38667,sitting,sitting,other,action,action,other
84248,blue,blue,other,color,color,other
94882,standing,standing,other,action,action,other
48568,purple,silver,other,color,color,other
42048,brown,brown,other,color,color,other
87602,wooden,metal,other,object,color,other
66877,tree,grass,other,object,object,other
88246,paper,tree,other,object,object,other
66579,cake,standing,other,action,object,other
35174,yes,yes,yes/no,yes/no,yes/no,yes/no
1810,standing,standing,other,action,action,other
69088,tree,building,other,object,object,other
36053,yes,yes,yes/no,yes/no,yes/no,yes/no
15481,3,2,number,number,number,number
84233,green,blue,other,color,color,other
91359,microphone,camera,other,object,object,other
45433,brown,brown,other,color,color,other
73645,plant,plant,other,object,object,other
666,yes,no,yes/no,yes/no,yes/no,yes/no
48746,purple,colorful,other,color,color,other
44047,black,purple,other,color,color,other
24374,yes,yes,yes/no,yes/no,yes/no,yes/no
1141,sitting,sitting,other,action,action,other
40076,phone,paper,other,object,object,other
85838,blue,blue,other,color,color,other
68106,building,wall,other,object,object,other
96850,chair,chair,other,object,object,other
93521,wood,green,other,color,color,other
93817,sitting,standing,other,action,action,other
49179,brown,brown,other,color,color,other
1798,sitting,sitting,other,action,action,other
95370,phone,stick,other,object,object,other
68745,chair,wall,other,object,object,other
17223,2,2,number,number,number,number
16283,2,1,number,number,number,number
72544,mountain,mountain,other,object,object,other
48409,red,red,other,color,color,other
43564,blue,blue,other,color,color,other
67728,window,window,other,object,object,other
61501,brown,brown,other,color,color,other
17411,2,3,number,number,number,number
149106,4,0,number,number,number,number
85110,red,red,other,color,color,other
47293,red,blue,other,color,color,other
93751,standing,standing,other,action,action,other
1468,standing,standing,other,action,action,other
41828,purple,red,other,color,color,other
35335,yes,yes,yes/no,yes/no,yes/no,yes/no
44184,blue,brown,other,color,color,other
94285,standing,sitting,other,action,action,other
53564,blue,black,other,color,color,other
28125,yes,yes,yes/no,yes/no,yes/no,yes/no
10676,2,2,number,number,number,number
33782,yes,yes,yes/no,yes/no,yes/no,yes/no
62954,purple,purple,other,color,color,other
31503,yes,yes,yes/no,yes/no,yes/no,yes/no
41795,red,red,other,color,color,other
100665,yes,winter,other,other,yes/no,yes/no
98285,standing,standing,other,action,action,other
55205,white,white,other,color,color,other
55015,white,blue,other,color,color,other
48857,red,red,other,color,color,other
46289,pink,pink,other,color,color,other
81490,standing,standing,other,action,action,other
55988,black,green,other,color,color,other
14837,2,2,number,number,number,number
88667,standing,standing,other,action,action,other
439,middle,front,other,other,other,other
1735,standing,standing,other,action,action,other
29500,yes,yes,yes/no,yes/no,yes/no,yes/no
67263,tree,tree,other,object,object,other
116326,cap,hair,other,object,object,other
44376,purple,blue,other,color,color,other
12194,2,1,number,number,number,number
57887,red,red,other,color,color,other
95683,phone,phone,other,object,object,other
1449,standing,standing,other,action,action,other
46818,blue,green,other,color,color,other
77119,cupboard,glass,other,object,object,other
18565,2,2,number,number,number,number
88127,standing,standing,other,action,action,other
11779,1,1,number,number,number,number
43992,green,orange,other,color,color,other
29273,yes,yes,yes/no,yes/no,yes/no,yes/no
45050,white,green,other,color,color,other
93702,flag,banana,other,object,object,other
40503,poster,board,other,object,object,other
68050,building,building,other,object,object,other
83080,purple,purple,other,color,color,other
72611,mountain,mountain,other,object,object,other
93993,standing,standing,other,action,action,other
98100,large,large,other,other,other,other
52243,blue,gray,other,color,color,other
40226,chair,chair,other,object,object,other
12390,2,2,number,number,number,number
96849,couch,car,other,object,object,other
49210,silver,silver,other,color,color,other
49566,brown,red,other,color,color,other
52788,blue,red,other,color,color,other
24676,yes,yes,yes/no,yes/no,yes/no,yes/no
98077,wood,metal,other,object,color,other
51315,blue,pink,other,color,color,other
53617,red,blue,other,color,color,other
86228,brown,brown,other,color,color,other
46393,white,purple,other,color,color,other
77009,wall,pole,other,object,object,other
17586,2,1,number,number,number,number
98160,toy,toy,other,object,object,other
94958,standing,standing,other,action,action,other
94291,standing,sitting,other,action,action,other
40572,picture,picture,other,object,object,other
52187,black,brown,other,color,color,other
52642,blue,brown,other,color,color,other
56115,blue,black,other,color,color,other
84621,white,blue,other,color,color,other
81804,brick,brick,other,color,color,other
55872,green,green,other,color,color,other
80276,picture,picture,other,object,object,other
31839,yes,yes,yes/no,yes/no,yes/no,yes/no
73030,wall,bag,other,object,object,other
72214,wall,wall,other,object,object,other
103483,man,woman,other,human,human,other
84626,blue,pink,other,color,color,other
103237,man,woman,other,human,human,other
52302,blue,blue,other,color,color,other
11001,2,2,number,number,number,number
91815,window,painting,other,action,object,other
94899,standing,standing,other,action,action,other
52124,black,brown,other,color,color,other
91737,purple,eyeglasses,other,object,color,other
399,yes,bat,other,object,yes/no,yes/no
74954,wall,stairs,other,object,object,other
43871,blue,blue,other,color,color,other
12130,3,3,number,number,number,number
17908,2,2,number,number,number,number
29773,yes,yes,yes/no,yes/no,yes/no,yes/no
25721,cloudy,cloudy,other,other,other,other
101584,room,room,other,object,object,other
67876,wall,building,other,object,object,other
8517,2,2,number,number,number,number
81646,bird,man,other,human,object,other
17762,2,2,number,number,number,number
79338,cabinet,cabinet,other,object,object,other
23808,yes,yes,yes/no,yes/no,yes/no,yes/no
81551,sitting,sitting,other,action,action,other
80645,curtain,curtain,other,object,object,other
79004,sign,sign,other,object,object,other
13041,2,3,number,number,number,number
93057,suit,eyeglasses,other,object,object,other
67829,cabinet,window,other,object,object,other
74166,people,car,other,object,human,other
54131,red,white,other,color,color,other
120702,no,no,yes/no,yes/no,yes/no,yes/no
91141,cup,laptop,other,object,object,other
66571,white,white,other,color,color,other
16655,2,3,number,number,number,number
98501,sunny,cloudy,other,other,other,other
76907,cupboard,cupboard,other,object,object,other
475,standing,standing,other,action,action,other
88289,window,classroom,other,object,object,other
36643,eyeglasses,eyeglasses,other,object,object,other
58319,white,white,other,color,color,other
28991,yes,yes,yes/no,yes/no,yes/no,yes/no
97536,standing,standing,other,action,action,other
71844,wall,wall,other,object,object,other
