question_id,prediction,target,answer_type,small_answer_type_target,small_answer_type_prediction,answer_type_prediction
823,yes,yes,yes/no,yes/no,yes/no,yes/no
827,yes,yes,yes/no,yes/no,yes/no,yes/no
829,standing,standing,other,action,action,other
838,sitting,bus,other,object,action,other
846,eating,eating,other,action,action,other
853,yes,yes,yes/no,yes/no,yes/no,yes/no
857,yes,no,yes/no,yes/no,yes/no,yes/no
865,yes,yes,yes/no,yes/no,yes/no,yes/no
872,book,stick,other,object,object,other
885,book,yes,yes/no,yes/no,object,other
889,book,cup,other,object,object,other
905,yes,yes,yes/no,yes/no,yes/no,yes/no
910,yes,yes,yes/no,yes/no,yes/no,yes/no
924,yes,yes,yes/no,yes/no,yes/no,yes/no
932,yes,yes,yes/no,yes/no,yes/no,yes/no
955,yes,yes,yes/no,yes/no,yes/no,yes/no
963,yes,yes,yes/no,yes/no,yes/no,yes/no
973,yes,no,yes/no,yes/no,yes/no,yes/no
976,yes,front,other,other,yes/no,yes/no
986,yes,yes,yes/no,yes/no,yes/no,yes/no
996,yes,no,yes/no,yes/no,yes/no,yes/no
1000,yes,yes,yes/no,yes/no,yes/no,yes/no
1006,yes,yes,yes/no,yes/no,yes/no,yes/no
1014,yes,no,yes/no,yes/no,yes/no,yes/no
1020,inside,inside,other,location,location,other
1023,outside,outside,other,location,location,other
1032,outside,outside,other,location,location,other
1041,outside,outside,other,location,location,other
1049,outside,inside,other,location,location,other
1057,inside,outside,other,location,location,other
1062,yes,yes,yes/no,yes/no,yes/no,yes/no
1067,no,yes,yes/no,yes/no,yes/no,yes/no
1069,yes,yes,yes/no,yes/no,yes/no,yes/no
1078,yes,yes,yes/no,yes/no,yes/no,yes/no
1086,sitting,sitting,other,action,action,other
1092,right,right,other,color,color,other
1102,yes,yes,yes/no,yes/no,yes/no,yes/no
1111,no,yes,yes/no,yes/no,yes/no,yes/no
1116,yes,yes,yes/no,yes/no,yes/no,yes/no
1124,yes,yes,yes/no,yes/no,yes/no,yes/no
1130,yes,yes,yes/no,yes/no,yes/no,yes/no
1137,sitting,sitting,other,action,action,other
1141,sitting,sitting,other,action,action,other
1143,standing,standing,other,action,action,other
1147,sitting,sitting,other,action,action,other
1154,sitting,sitting,other,action,action,other
1161,standing,both,other,other,action,other
1167,standing,standing,other,action,action,other
1171,standing,standing,other,action,action,other
1173,standing,sitting,other,action,action,other
1176,standing,standing,other,action,action,other
1179,standing,standing,other,action,action,other
1182,standing,standing,other,action,action,other
1199,sitting,standing,other,action,action,other
1206,sitting,sitting,other,action,action,other
1214,standing,standing,other,action,action,other
1219,standing,both,other,other,action,other
1238,sitting,sitting,other,action,action,other
1247,standing,sitting,other,action,action,other
1259,standing,standing,other,action,action,other
1295,standing,standing,other,action,action,other
1318,standing,standing,other,action,action,other
1328,standing,standing,other,action,action,other
1386,yes,yes,yes/no,yes/no,yes/no,yes/no
1395,front,car,other,object,other,other
1399,yes,yes,yes/no,yes/no,yes/no,yes/no
1421,yes,yes,yes/no,yes/no,yes/no,yes/no
1427,ground,ground,other,other,other,other
1443,yes,no,yes/no,yes/no,yes/no,yes/no
1449,standing,standing,other,action,action,other
1464,standing,standing,other,action,action,other
1468,standing,standing,other,action,action,other
1492,standing,sitting,other,action,action,other
1505,standing,standing,other,action,action,other
1517,standing,standing,other,action,action,other
1530,sitting,sitting,other,action,action,other
1541,standing,standing,other,action,action,other
1547,standing,standing,other,action,action,other
1564,standing,standing,other,action,action,other
1573,standing,standing,other,action,action,other
1577,standing,standing,other,action,action,other
1581,standing,standing,other,action,action,other
1587,standing,standing,other,action,action,other
1602,standing,standing,other,action,action,other
1610,standing,standing,other,action,action,other
1619,standing,standing,other,action,action,other
1628,standing,standing,other,action,action,other
1638,standing,standing,other,action,action,other
1641,standing,standing,other,action,action,other
1648,standing,standing,other,action,action,other
1678,standing,standing,other,action,action,other
1690,standing,standing,other,action,action,other
1697,standing,standing,other,action,action,other
1728,standing,sitting,other,action,action,other
1746,standing,standing,other,action,action,other
1772,standing,standing,other,action,action,other
1793,standing,sitting,other,action,action,other
1801,standing,standing,other,action,action,other
1804,standing,standing,other,action,action,other
1808,standing,standing,other,action,action,other
1837,standing,standing,other,action,action,other
1853,yes,no,yes/no,yes/no,yes/no,yes/no
1883,standing,standing,other,action,action,other
1900,yes,yes,yes/no,yes/no,yes/no,yes/no
2015,yes,yes,yes/no,yes/no,yes/no,yes/no
2032,yes,yes,yes/no,yes/no,yes/no,yes/no
2037,yes,yes,yes/no,yes/no,yes/no,yes/no
2055,yes,yes,yes/no,yes/no,yes/no,yes/no
2087,yes,yes,yes/no,yes/no,yes/no,yes/no
2098,yes,yes,yes/no,yes/no,yes/no,yes/no
2138,standing,white,other,color,action,other
2158,yes,yes,yes/no,yes/no,yes/no,yes/no
2180,large,large,other,other,other,other
2219,no,no,yes/no,yes/no,yes/no,yes/no
2235,yes,yes,yes/no,yes/no,yes/no,yes/no
2258,standing,sitting,other,action,action,other
2273,yes,yes,yes/no,yes/no,yes/no,yes/no
2275,yes,yes,yes/no,yes/no,yes/no,yes/no
2278,yes,yes,yes/no,yes/no,yes/no,yes/no
2282,yes,yes,yes/no,yes/no,yes/no,yes/no
2301,necklace,yes,yes/no,yes/no,object,other
2336,no,no,yes/no,yes/no,yes/no,yes/no
2344,no,no,yes/no,yes/no,yes/no,yes/no
2354,no,no,yes/no,yes/no,yes/no,yes/no
2363,no,yes,yes/no,yes/no,yes/no,yes/no
2390,yes,yes,yes/no,yes/no,yes/no,yes/no
2427,yes,yes,yes/no,yes/no,yes/no,yes/no
2458,yes,yes,yes/no,yes/no,yes/no,yes/no
2498,yes,yes,yes/no,yes/no,yes/no,yes/no
2532,yes,yes,yes/no,yes/no,yes/no,yes/no
2557,yes,yes,yes/no,yes/no,yes/no,yes/no
2604,yes,yes,yes/no,yes/no,yes/no,yes/no
2748,yes,yes,yes/no,yes/no,yes/no,yes/no
2819,yes,yes,yes/no,yes/no,yes/no,yes/no
2829,yes,yes,yes/no,yes/no,yes/no,yes/no
2934,yes,light,other,object,yes/no,yes/no
3090,yes,yes,yes/no,yes/no,yes/no,yes/no
3133,yes,yes,yes/no,yes/no,yes/no,yes/no
3206,yes,yes,yes/no,yes/no,yes/no,yes/no
3476,yes,yes,yes/no,yes/no,yes/no,yes/no
3933,yes,yes,yes/no,yes/no,yes/no,yes/no
3991,yes,yes,yes/no,yes/no,yes/no,yes/no
4190,yes,yes,yes/no,yes/no,yes/no,yes/no
4278,yes,yes,yes/no,yes/no,yes/no,yes/no
4521,yes,yes,yes/no,yes/no,yes/no,yes/no
4547,yes,yes,yes/no,yes/no,yes/no,yes/no
4724,yes,yes,yes/no,yes/no,yes/no,yes/no
4788,yes,yes,yes/no,yes/no,yes/no,yes/no
4938,yes,yes,yes/no,yes/no,yes/no,yes/no
4996,yes,yes,yes/no,yes/no,yes/no,yes/no
5110,yes,yes,yes/no,yes/no,yes/no,yes/no
5196,yes,yes,yes/no,yes/no,yes/no,yes/no
5503,yes,yes,yes/no,yes/no,yes/no,yes/no
5553,yes,yes,yes/no,yes/no,yes/no,yes/no
5814,yes,yes,yes/no,yes/no,yes/no,yes/no
5900,yes,yes,yes/no,yes/no,yes/no,yes/no
6040,yes,yes,yes/no,yes/no,yes/no,yes/no
6308,yes,yes,yes/no,yes/no,yes/no,yes/no
6494,standing,standing,other,action,action,other
6664,yes,yes,yes/no,yes/no,yes/no,yes/no
6669,yes,no,yes/no,yes/no,yes/no,yes/no
6676,yes,yes,yes/no,yes/no,yes/no,yes/no
6682,yes,yes,yes/no,yes/no,yes/no,yes/no
6692,yes,yes,yes/no,yes/no,yes/no,yes/no
6705,yes,yes,yes/no,yes/no,yes/no,yes/no
6716,yes,yes,yes/no,yes/no,yes/no,yes/no
6726,yes,yes,yes/no,yes/no,yes/no,yes/no
6730,yes,yes,yes/no,yes/no,yes/no,yes/no
6735,yes,yes,yes/no,yes/no,yes/no,yes/no
6753,no,no,yes/no,yes/no,yes/no,yes/no
6770,no,no,yes/no,yes/no,yes/no,yes/no
6783,yes,yes,yes/no,yes/no,yes/no,yes/no
6793,yes,yes,yes/no,yes/no,yes/no,yes/no
6809,yes,yes,yes/no,yes/no,yes/no,yes/no
6830,yes,no,yes/no,yes/no,yes/no,yes/no
6843,yes,yes,yes/no,yes/no,yes/no,yes/no
6849,yes,yes,yes/no,yes/no,yes/no,yes/no
6910,yes,yes,yes/no,yes/no,yes/no,yes/no
6931,sky,yes,yes/no,yes/no,object,other
6985,no,no,yes/no,yes/no,yes/no,yes/no
6993,yes,yes,yes/no,yes/no,yes/no,yes/no
6997,yes,yes,yes/no,yes/no,yes/no,yes/no
7010,yes,yes,yes/no,yes/no,yes/no,yes/no
7033,no,yes,yes/no,yes/no,yes/no,yes/no
7035,yes,yes,yes/no,yes/no,yes/no,yes/no
7060,yes,yes,yes/no,yes/no,yes/no,yes/no
7075,yes,no,yes/no,yes/no,yes/no,yes/no
7087,dark,brown,other,color,color,other
7105,yes,yes,yes/no,yes/no,yes/no,yes/no
7112,yes,yes,yes/no,yes/no,yes/no,yes/no
7116,yes,yes,yes/no,yes/no,yes/no,yes/no
7148,yes,yes,yes/no,yes/no,yes/no,yes/no
7155,no,yes,yes/no,yes/no,yes/no,yes/no
7207,no,yes,yes/no,yes/no,yes/no,yes/no
7217,yes,yes,yes/no,yes/no,yes/no,yes/no
7230,yes,yes,yes/no,yes/no,yes/no,yes/no
7261,sunny,cloudy,other,other,other,other
7285,standing,ground,other,other,action,other
7298,sunny,snowy,other,other,other,other
7325,1,2,number,number,number,number
7356,1,1,number,number,number,number
7365,1,2,number,number,number,number
7397,1,2,number,number,number,number
7415,1,3,number,number,number,number
7424,2,2,number,number,number,number
7522,2,1,number,number,number,number
7570,2,1,number,number,number,number
7579,1,2,number,number,number,number
7592,many,many,number,number,number,number
7609,2,1,number,number,number,number
7636,1,1,number,number,number,number
7674,2,2,number,number,number,number
7677,2,2,number,number,number,number
7715,2,2,number,number,number,number
7725,2,3,number,number,number,number
7735,2,3,number,number,number,number
7739,2,2,number,number,number,number
7755,1,1,number,number,number,number
7762,1,3,number,number,number,number
7775,1,2,number,number,number,number
7799,1,1,number,number,number,number
7807,1,1,number,number,number,number
7813,1,1,number,number,number,number
7827,1,2,number,number,number,number
7839,1,2,number,number,number,number
7847,1,1,number,number,number,number
7858,1,1,number,number,number,number
7871,1,1,number,number,number,number
7916,2,2,number,number,number,number
7933,1,1,number,number,number,number
7946,1,1,number,number,number,number
7965,2,3,number,number,number,number
7975,1,1,number,number,number,number
7980,1,1,number,number,number,number
7992,2,2,number,number,number,number
8002,1,1,number,number,number,number
8027,1,2,number,number,number,number
8041,1,many,number,number,number,number
8077,2,4,number,number,number,number
8165,1,few,other,other,number,number
8191,few,2,number,number,other,other
8269,2,1,number,number,number,number
8295,2,2,number,number,number,number
8329,2,3,number,number,number,number
8375,2,1,number,number,number,number
8381,2,2,number,number,number,number
8396,2,3,number,number,number,number
8421,2,2,number,number,number,number
8451,2,2,number,number,number,number
8480,2,2,number,number,number,number
8498,1,1,number,number,number,number
8517,2,2,number,number,number,number
8538,2,3,number,number,number,number
8542,2,2,number,number,number,number
8555,2,2,number,number,number,number
8560,2,2,number,number,number,number
8581,2,1,number,number,number,number
8598,1,1,number,number,number,number
8609,2,1,number,number,number,number
8626,2,2,number,number,number,number
8644,2,2,number,number,number,number
8676,2,2,number,number,number,number
8719,2,3,number,number,number,number
8764,2,3,number,number,number,number
8781,2,2,number,number,number,number
8791,2,2,number,number,number,number
8799,2,2,number,number,number,number
8842,2,2,number,number,number,number
8868,2,2,number,number,number,number
8884,2,1,number,number,number,number
8895,2,2,number,number,number,number
8946,2,2,number,number,number,number
8962,2,2,number,number,number,number
8971,2,2,number,number,number,number
8996,2,3,number,number,number,number
9048,2,2,number,number,number,number
9057,2,2,number,number,number,number
9086,2,3,number,number,number,number
9097,2,3,number,number,number,number
9120,2,2,number,number,number,number
9150,2,2,number,number,number,number
9152,2,1,number,number,number,number
9172,2,2,number,number,number,number
9189,2,2,number,number,number,number
9202,2,2,number,number,number,number
9222,2,3,number,number,number,number
9240,1,2,number,number,number,number
9249,2,2,number,number,number,number
9258,1,2,number,number,number,number
9315,1,1,number,number,number,number
9339,1,many,number,number,number,number
9399,2,2,number,number,number,number
9415,2,2,number,number,number,number
9472,2,1,number,number,number,number
9476,2,1,number,number,number,number
9597,2,2,number,number,number,number
9740,2,2,number,number,number,number
9846,2,2,number,number,number,number
10129,2,2,number,number,number,number
10216,2,2,number,number,number,number
10243,2,2,number,number,number,number
10258,2,3,number,number,number,number
10264,2,2,number,number,number,number
10270,2,2,number,number,number,number
10279,2,2,number,number,number,number
10283,2,2,number,number,number,number
10301,2,2,number,number,number,number
10314,3,3,number,number,number,number
10321,2,2,number,number,number,number
10365,2,2,number,number,number,number
10398,2,2,number,number,number,number
10406,2,2,number,number,number,number
10422,3,2,number,number,number,number
10428,2,1,number,number,number,number
10440,2,2,number,number,number,number
10449,2,2,number,number,number,number
10456,2,2,number,number,number,number
10468,2,2,number,number,number,number
10476,2,2,number,number,number,number
10487,2,2,number,number,number,number
10493,2,2,number,number,number,number
10501,2,3,number,number,number,number
10516,2,2,number,number,number,number
10539,2,2,number,number,number,number
10542,2,2,number,number,number,number
10547,2,2,number,number,number,number
10550,2,2,number,number,number,number
10582,2,2,number,number,number,number
10587,2,2,number,number,number,number
10599,2,1,number,number,number,number
10605,2,2,number,number,number,number
10611,2,2,number,number,number,number
10618,2,2,number,number,number,number
10631,2,2,number,number,number,number
10645,2,2,number,number,number,number
10654,2,3,number,number,number,number
10676,2,2,number,number,number,number
10707,2,2,number,number,number,number
10719,2,2,number,number,number,number
10728,2,2,number,number,number,number
10753,2,3,number,number,number,number
10760,2,2,number,number,number,number
10773,1,1,number,number,number,number
10777,2,2,number,number,number,number
10804,2,2,number,number,number,number
10831,2,3,number,number,number,number
10844,2,2,number,number,number,number
10847,2,3,number,number,number,number
10861,2,2,number,number,number,number
10872,2,2,number,number,number,number
10896,2,2,number,number,number,number
10903,2,2,number,number,number,number
10934,2,2,number,number,number,number
10950,2,2,number,number,number,number
10962,2,3,number,number,number,number
10973,2,2,number,number,number,number
10997,2,2,number,number,number,number
11028,2,3,number,number,number,number
11042,1,1,number,number,number,number
11098,2,1,number,number,number,number
11104,2,2,number,number,number,number
11124,1,2,number,number,number,number
11152,2,2,number,number,number,number
11159,few,2,number,number,other,other
11194,2,2,number,number,number,number
11206,1,2,number,number,number,number
11243,2,2,number,number,number,number
11246,2,2,number,number,number,number
11251,2,2,number,number,number,number
11287,2,3,number,number,number,number
11308,1,2,number,number,number,number
11336,1,2,number,number,number,number
11394,2,2,number,number,number,number
11405,2,many,number,number,number,number
11413,2,5,number,number,number,number
11421,2,2,number,number,number,number
11443,2,2,number,number,number,number
11466,2,2,number,number,number,number
11475,2,3,number,number,number,number
11499,2,1,number,number,number,number
11505,2,1,number,number,number,number
11526,4,5,number,number,number,number
11543,4,5,number,number,number,number
11562,4,many,number,number,number,number
11571,many,group,other,other,number,number
11579,2,2,number,number,number,number
11592,2,1,number,number,number,number
11601,2,3,number,number,number,number
11628,2,2,number,number,number,number
11644,3,3,number,number,number,number
11658,2,2,number,number,number,number
11694,2,2,number,number,number,number
11708,group,many,number,number,other,other
11733,2,2,number,number,number,number
11757,2,2,number,number,number,number
11779,2,1,number,number,number,number
11789,2,2,number,number,number,number
11812,2,1,number,number,number,number
11821,2,1,number,number,number,number
11826,3,group,other,other,number,number
11831,2,2,number,number,number,number
11841,2,2,number,number,number,number
11854,2,2,number,number,number,number
11875,2,2,number,number,number,number
11901,2,2,number,number,number,number
11913,2,2,number,number,number,number
11931,2,group,other,other,number,number
11941,2,2,number,number,number,number
11947,2,3,number,number,number,number
11959,2,2,number,number,number,number
11982,2,2,number,number,number,number
11992,2,2,number,number,number,number
12007,2,2,number,number,number,number
12013,3,2,number,number,number,number
12030,2,2,number,number,number,number
12039,2,2,number,number,number,number
12046,3,3,number,number,number,number
12052,3,2,number,number,number,number
12071,2,2,number,number,number,number
12082,1,2,number,number,number,number
12089,2,3,number,number,number,number
12098,2,group,other,other,number,number
12101,2,2,number,number,number,number
12124,2,3,number,number,number,number
12130,3,3,number,number,number,number
12135,1,1,number,number,number,number
12151,1,1,number,number,number,number
12166,2,1,number,number,number,number
12172,2,2,number,number,number,number
12183,3,2,number,number,number,number
12194,2,1,number,number,number,number
12206,1,2,number,number,number,number
12225,2,2,number,number,number,number
12236,2,2,number,number,number,number
12248,2,2,number,number,number,number
12253,2,2,number,number,number,number
12289,2,1,number,number,number,number
12301,2,1,number,number,number,number
12317,2,2,number,number,number,number
12323,2,2,number,number,number,number
12341,2,2,number,number,number,number
12355,2,2,number,number,number,number
12363,2,group,other,other,number,number
12373,group,many,number,number,other,other
12380,2,1,number,number,number,number
12390,2,2,number,number,number,number
12402,1,1,number,number,number,number
12408,2,2,number,number,number,number
12414,2,3,number,number,number,number
12421,2,1,number,number,number,number
12445,2,2,number,number,number,number
12463,2,2,number,number,number,number
12468,2,2,number,number,number,number
12479,2,many,number,number,number,number
12488,2,3,number,number,number,number
12513,2,2,number,number,number,number
12522,2,2,number,number,number,number
12539,2,3,number,number,number,number
12564,2,1,number,number,number,number
12594,2,2,number,number,number,number
12602,1,1,number,number,number,number
12614,2,1,number,number,number,number
12639,1,1,number,number,number,number
12665,2,2,number,number,number,number
12675,2,2,number,number,number,number
12682,1,1,number,number,number,number
12693,2,2,number,number,number,number
12713,2,2,number,number,number,number
12735,2,1,number,number,number,number
12740,1,1,number,number,number,number
12751,2,3,number,number,number,number
12753,2,2,number,number,number,number
12759,2,4,number,number,number,number
12777,1,1,number,number,number,number
12790,2,2,number,number,number,number
12809,1,1,number,number,number,number
12813,2,2,number,number,number,number
12819,2,2,number,number,number,number
12831,2,3,number,number,number,number
12842,2,2,number,number,number,number
12845,2,2,number,number,number,number
12859,1,1,number,number,number,number
12884,2,2,number,number,number,number
12906,2,2,number,number,number,number
12936,2,3,number,number,number,number
12956,many,group,other,other,number,number
12961,2,2,number,number,number,number
12973,2,2,number,number,number,number
12991,2,3,number,number,number,number
12999,2,2,number,number,number,number
13019,2,2,number,number,number,number
13028,2,2,number,number,number,number
13037,2,2,number,number,number,number
13055,2,2,number,number,number,number
13069,2,3,number,number,number,number
13073,2,2,number,number,number,number
13094,2,2,number,number,number,number
13097,2,2,number,number,number,number
13130,1,2,number,number,number,number
13140,2,2,number,number,number,number
13148,2,2,number,number,number,number
13182,2,2,number,number,number,number
13184,2,1,number,number,number,number
13231,2,2,number,number,number,number
13298,2,1,number,number,number,number
13306,2,2,number,number,number,number
13348,2,2,number,number,number,number
13376,2,2,number,number,number,number
13389,2,2,number,number,number,number
13399,2,2,number,number,number,number
13429,2,group,other,other,number,number
13434,2,1,number,number,number,number
13456,2,3,number,number,number,number
13499,3,5,number,number,number,number
13523,2,4,number,number,number,number
13534,2,2,number,number,number,number
13539,2,2,number,number,number,number
13553,2,2,number,number,number,number
13562,2,5,number,number,number,number
13579,2,3,number,number,number,number
13608,2,3,number,number,number,number
13626,2,2,number,number,number,number
13637,2,3,number,number,number,number
13641,2,4,number,number,number,number
13653,2,3,number,number,number,number
13676,2,3,number,number,number,number
13704,2,3,number,number,number,number
13718,2,2,number,number,number,number
13724,2,2,number,number,number,number
13733,3,2,number,number,number,number
13739,2,2,number,number,number,number
13775,2,2,number,number,number,number
13837,2,2,number,number,number,number
13876,2,2,number,number,number,number
13924,2,2,number,number,number,number
13977,2,2,number,number,number,number
14083,2,2,number,number,number,number
14217,1,1,number,number,number,number
14307,1,1,number,number,number,number
14392,2,1,number,number,number,number
14548,2,3,number,number,number,number
14648,2,3,number,number,number,number
14798,2,2,number,number,number,number
14837,2,2,number,number,number,number
14929,2,2,number,number,number,number
14956,2,2,number,number,number,number
14968,2,2,number,number,number,number
14983,2,2,number,number,number,number
14990,1,2,number,number,number,number
14996,2,group,other,other,number,number
15003,2,2,number,number,number,number
15024,2,1,number,number,number,number
15040,2,2,number,number,number,number
15043,2,1,number,number,number,number
15047,2,4,number,number,number,number
15081,2,2,number,number,number,number
15092,2,2,number,number,number,number
15102,2,1,number,number,number,number
15147,2,2,number,number,number,number
15153,2,2,number,number,number,number
15158,2,2,number,number,number,number
15168,2,1,number,number,number,number
15195,2,2,number,number,number,number
15209,2,1,number,number,number,number
15230,2,1,number,number,number,number
15240,2,2,number,number,number,number
15244,2,2,number,number,number,number
15263,2,2,number,number,number,number
15267,2,1,number,number,number,number
15273,1,1,number,number,number,number
15280,2,2,number,number,number,number
15295,2,1,number,number,number,number
15312,2,2,number,number,number,number
15335,2,2,number,number,number,number
15343,many,many,number,number,number,number
15354,2,2,number,number,number,number
15378,2,2,number,number,number,number
15390,2,2,number,number,number,number
15402,2,1,number,number,number,number
15415,2,2,number,number,number,number
15419,2,2,number,number,number,number
15422,2,2,number,number,number,number
15434,2,2,number,number,number,number
15446,2,2,number,number,number,number
15475,2,2,number,number,number,number
15484,2,3,number,number,number,number
15494,2,3,number,number,number,number
15500,2,2,number,number,number,number
15503,2,2,number,number,number,number
15509,2,2,number,number,number,number
15516,2,3,number,number,number,number
15543,2,2,number,number,number,number
15557,2,2,number,number,number,number
15575,2,2,number,number,number,number
15586,2,3,number,number,number,number
15589,3,group,other,other,number,number
15621,1,1,number,number,number,number
15637,3,3,number,number,number,number
15641,1,1,number,number,number,number
15658,2,3,number,number,number,number
15665,2,2,number,number,number,number
15674,2,2,number,number,number,number
15687,2,3,number,number,number,number
15701,2,3,number,number,number,number
15712,2,2,number,number,number,number
15744,2,2,number,number,number,number
15759,2,1,number,number,number,number
15788,2,2,number,number,number,number
15818,2,2,number,number,number,number
15833,2,2,number,number,number,number
15843,1,1,number,number,number,number
15845,2,1,number,number,number,number
15879,2,2,number,number,number,number
15891,2,2,number,number,number,number
15898,2,2,number,number,number,number
15917,2,2,number,number,number,number
15931,2,1,number,number,number,number
15961,1,1,number,number,number,number
15972,2,2,number,number,number,number
16005,2,2,number,number,number,number
16027,2,2,number,number,number,number
16043,2,1,number,number,number,number
16055,2,2,number,number,number,number
16067,1,1,number,number,number,number
16076,2,2,number,number,number,number
16090,2,2,number,number,number,number
16101,2,1,number,number,number,number
16108,2,3,number,number,number,number
16127,2,2,number,number,number,number
16146,2,1,number,number,number,number
16161,2,1,number,number,number,number
16175,2,2,number,number,number,number
16195,2,2,number,number,number,number
16247,2,2,number,number,number,number
16263,2,2,number,number,number,number
16283,2,1,number,number,number,number
16298,2,2,number,number,number,number
16303,2,3,number,number,number,number
16311,2,1,number,number,number,number
16318,2,2,number,number,number,number
16340,2,2,number,number,number,number
16376,2,2,number,number,number,number
16405,2,2,number,number,number,number
16421,2,2,number,number,number,number
16427,2,1,number,number,number,number
16454,2,group,other,other,number,number
16460,2,2,number,number,number,number
16475,2,3,number,number,number,number
16487,1,1,number,number,number,number
16519,2,2,number,number,number,number
16535,2,group,other,other,number,number
16587,1,1,number,number,number,number
16594,2,2,number,number,number,number
16600,2,2,number,number,number,number
16635,2,2,number,number,number,number
16637,2,2,number,number,number,number
16643,1,1,number,number,number,number
16660,2,3,number,number,number,number
16681,2,1,number,number,number,number
16704,3,many,number,number,number,number
16732,2,2,number,number,number,number
16757,2,2,number,number,number,number
16784,2,2,number,number,number,number
16801,2,2,number,number,number,number
16812,2,3,number,number,number,number
16839,2,2,number,number,number,number
16842,2,2,number,number,number,number
16855,1,1,number,number,number,number
16907,2,2,number,number,number,number
16913,2,2,number,number,number,number
16931,2,2,number,number,number,number
16960,2,2,number,number,number,number
16970,2,2,number,number,number,number
16999,2,2,number,number,number,number
17005,2,1,number,number,number,number
17026,2,2,number,number,number,number
17046,2,2,number,number,number,number
17059,2,2,number,number,number,number
17069,2,2,number,number,number,number
17075,2,1,number,number,number,number
17103,2,2,number,number,number,number
17111,2,2,number,number,number,number
17116,2,2,number,number,number,number
17130,2,2,number,number,number,number
17145,2,2,number,number,number,number
17159,1,1,number,number,number,number
17195,2,2,number,number,number,number
17211,1,1,number,number,number,number
17223,2,2,number,number,number,number
17245,2,2,number,number,number,number
17276,group,many,number,number,other,other
